id,type,latitude_deg,longitude_deg,elevation_ft,municipality,gps_code,iata_code
308328,medium_airport,41.728185,0.535023,1170,Lleida,LEDA,ILD
43277,small_airport,37.29499817,-6.162499905,148,Sevilla,LEJU,
43304,small_airport,36.87179344,-5.648775101,470,Villamartin,LETF,
4005,medium_airport,38.8913002,-6.82133007,609,Badajoz,LEBZ,BJZ
35151,heliport,35.89279938,-5.306389809,8,Ceuta,GECE,JCU
30083,small_airport,42.46095349,-2.322235107,1161,Logroño,LERJ,RJL
4012,medium_airport,40.29410172,-3.723829985,2031,Getafe,LEGT,
4027,medium_airport,37.951099,-1.23032,250,Alcantarilla,LERI,
29410,closed,40.900002,-1.30412,2936,Calamocha,,
30367,small_airport,42.569199,-0.727778,2241,Huesca,LECI,
30054,small_airport,36.80166626,-4.135556221,118,Málaga,LEAX,
4036,small_airport,39.86220169,4.258329868,197,Menorca Island,LESL,
30168,small_airport,38.44060135,-0.47527799,427,Muchamiel,LEMU,
4023,small_airport,43.42919922,-5.830560207,541,Oviedo,LEMR,
4029,small_airport,40.86529922,-3.247780085,3097,Robledillo De Mohernando,LERM,
320512,small_airport,40.9111,-4.370917,3068,,LEIR,
320423,small_airport,39.576801,3.124647,233,,,
320689,small_airport,38.731,-0.14471,3019,,,
314988,small_airport,38.798137,-1.726842,2700,Albacete,,
300646,heliport,36.12888,-5.441118,98,Algeciras,LEAG,AEI
43301,heliport,41.57400131,2.257159948,470,Barcelona,LETA,
300859,medium_airport,40.213889,0.073333,1145,Castellón de la Plana,LECH,CDT
308134,medium_airport,37.803,-1.125,632,Corvera,LEMI,RMU
321476,small_airport,40.7848296,-3.6397313,2756,El Vellón,,
43283,small_airport,37.3643,-6.92094,86,Gibraleón,LEMF,
43262,small_airport,39.345699,-5.19735,1408,Guadalupe,LEGU,
43279,small_airport,39.71689987,-3.320559978,2272,Lillo,LELT,
43254,small_airport,39.01070023,-4.386360168,2116,Luciana,LECT,
43245,small_airport,40.235001,-4.02639,2050,Toledo,LEMT,
3996,medium_airport,38.94850159,-1.863520026,2302,Albacete,LEAB,ABC
3079,medium_airport,27.81480026,-17.88710022,103,El Hierro Island,GCHI,VDE
3078,small_airport,28.02960014,-17.21459961,716,Alajero, La Gomera Island,GCGM,GMZ
4018,medium_airport,42.5890007,-5.655560017,3006,León,LELN,LEN
4009,medium_airport,37.1332016,-3.63568997,2297,Armilla,LEGA,
31804,closed,37.946098,-4.58944,463,Alcolea,,
31807,small_airport,38.51209,-5.107215,1772,Hinojosa del Duque,LEHI,
4002,small_airport,38.27111053,-2.948889017,1780,Jaén,LEBE,
2641,small_airport,36.930698,-3.83538,3654,Jayena,,
4040,small_airport,40.2439003,-4.794439793,1401,La Iglesuela,LETI,
31805,closed,41.549999,0.65,705,LLeida - Alfes,LEAT,
4026,small_airport,38.91220093,-4.191110134,1850,Los Pozuelos De Calatrava,LEPZ,
4030,small_airport,43.1169014,-7.47028017,1444,Lugo,LERO,
2640,small_airport,41.465728,-4.713068,2329,Mojados,LEOA,
29967,small_airport,42.0760994,-0.316666991,1768,Monflorite/Alcalá del Obispo,LEHC,HSK
4008,small_airport,40.88861084,-4.237500191,3307,Segovia,LEFM,
30383,small_airport,41.20420074,-3.594719887,3638,Segovia,LETP,
31809,closed,37.3517,-6.01456,26,Sevilla,,
38693,small_airport,41.82310104,-2.478610039,3360,Soria,LEGY,
4014,small_airport,38.51309967,-3.364330053,2902,Torre de Juan Abad,LEIZ,
4016,small_airport,38.7478981,-3.514559984,2644,Valdepeñas,LELA,
315474,small_airport,38.1573628,-0.7779122,,,,
321890,closed,38.5868201,-0.8559465,1641,,,
315438,small_airport,36.44026,-5.94093,,,,
315895,small_airport,37.840394,-4.7096584,,,,
320568,small_airport,37.96173333,-4.80705,1969,,,
320751,small_airport,37.412624,-3.075759,3281,,,
321068,small_airport,37.9367064,-4.5326323,656,,,
321583,small_airport,37.197959,-1.830627,52,,,
325234,small_airport,38.0909891,-2.6484287,,,,
329228,heliport,36.932903,-3.3404525,,,,
43310,heliport,42.30469894,0.713056028,2870,,LEVR,
321339,small_airport,41.9599129,-0.5434853,1296,,,
315436,small_airport,41.750278,2.611389,,,,
326987,small_airport,38.4789243,-6.2644815,1496,,,
321794,closed,43.075701,-2.683326,1936,,,
320546,small_airport,41.959145,-5.835035,2395,,,
320788,small_airport,41.68315,-6.30767,2749,,,
321952,small_airport,41.27115,-3.63005,722,,,
320414,small_airport,39.296287,-3.831152,3281,,,
321180,small_airport,38.7923092,-3.3715367,2395,,,
329298,small_airport,39.5094986,-4.0259661,,,,
321439,small_airport,39.7497897,-0.1813464,7,,,
43249,heliport,41.80770111,3.037179947,42,,LEBC,
43269,heliport,41.47359848,2.042500019,385,,LEHG,
43292,heliport,41.27389908,1.914720058,1100,,LEGS,
43299,heliport,42.01549911,2.319250107,1672,,LETM,
43300,heliport,41.5719986,2.262029886,406,,LERV,
315469,small_airport,42.0069903,3.1519175,,,,
315470,small_airport,41.3679849,1.7668666,,,,
320708,small_airport,41.249924,1.241474,604,,,
321064,small_airport,42.02277,0.7491,2625,,,
320442,small_airport,38.979917,-6.345167,722,,,
320690,small_airport,38.97846667,-5.866,,,,
329201,heliport,42.981544,-9.237198,,,,
315868,small_airport,41.687222,2.748056,,,,
320424,small_airport,39.681743,2.878053,361,,,
320425,seaplane_base,39.908121,3.101912,0,,LEPO,
320426,small_airport,39.410395,2.863864,300,,,
321046,small_airport,38.3666778,-2.7941751,1837,,,
321557,small_airport,41.97416,1.257531,2133,,,
320710,small_airport,42.45175,-5.287083,2800,,,
320712,small_airport,42.497215,-5.682669,2953,,,
321362,small_airport,42.4791667,-2.8716667,2133,,,
321381,small_airport,40.437185,-4.024475,1985,,,
315969,small_airport,38.32305,-1.456967,,,,
320543,small_airport,38.0468,-1.92201,2625,,,
315467,small_airport,42.0032781,-1.6203155,,,,
316683,closed,42.5225,-1.803889,,,,
320735,small_airport,42.109262,-1.686976,778,,,
43242,heliport,43.44169998,-2.753609896,630,,LEGV,
320545,small_airport,40.571167,-6.2188167,3396,,,
324160,small_airport,41.683056,-6.306389,,,,
315972,small_airport,39.56601,-1.36225,,,,
321416,small_airport,39.675517,-0.548855,680,,,
329235,small_airport,39.657599,-0.811627,,,,
329338,small_airport,37.0903,-3.786343,2542,Ácula,LEJE,
320645,small_airport,40.091464,-1.210474,3970,Ademuz,,
321361,small_airport,42.3487,0.18613,1788,Ainsa,,
43234,small_airport,38.89500046,-1.113180041,2248,Albacete,LELM,
43264,heliport,39.07120132,-1.83434999,2226,Albacete,LEHE,
321292,small_airport,39.220618,-0.369304,30,Albalat de la Ribera,,
321293,small_airport,39.2261566,-0.3665835,26,Albalat de la Ribera,,
320729,small_airport,38.786461,-0.232382,,Alcalá de la Jovada,,
320513,small_airport,37.553279,-5.980612,144,Alcalá del Río,,
319456,small_airport,41.3727778,-4.6958333,2526,Alcazarén,,
320139,small_airport,38.80213,-0.3984167,1050,Alcocer de Planes,,
321164,small_airport,38.7915,-0.3987,,Alcocer de Planes,,
321065,small_airport,37.9456192,-4.6154163,463,Alcolea,,
321066,small_airport,41.734222,0.10758333,722,Alcolea de la Cinca,,
43265,heliport,40.34970238,-3.838190138,2269,Alcorcón,LEHA,
321580,small_airport,39.5609167,-5.6637222,1772,Aldeacentenara,,
320761,small_airport,39.9004,-3.87338333,1608,Algodor (Toledo),,
321702,small_airport,36.996999,-4.103608,3215,Alhama de Granada,,
321741,heliport,38.952096,-3.741126,2067,Almagro,,
321529,small_airport,38.739954,-6.391888,1034,Almendralejo,,
